央视频道,#genre#
CCTV4K,http://192.168.1.100:2699/ysp/cctv4k.m3u8?proxy=&type=600002264.m3u8
CCTV1,http://192.168.1.100:2699/ysp/cctv1.m3u8?proxy=&type=600001859.m3u8
CCTV2,http://192.168.1.100:2699/ysp/cctv2.m3u8?proxy=&type=600001800.m3u8
CCTV3(VIP),http://192.168.1.100:2699/ysp/cctv3(vip).m3u8?proxy=&type=600001801.m3u8
CCTV4,http://192.168.1.100:2699/ysp/cctv4.m3u8?proxy=&type=600001814.m3u8
CCTV5(限免),http://192.168.1.100:2699/ysp/cctv5(限免).m3u8?proxy=&type=600001818.m3u8
CCTV5+(限免),http://192.168.1.100:2699/ysp/cctv5+(限免).m3u8?proxy=&type=600001817.m3u8
CCTV6(VIP),http://192.168.1.100:2699/ysp/cctv6(vip).m3u8?proxy=&type=600001802.m3u8
CCTV7,http://192.168.1.100:2699/ysp/cctv7.m3u8?proxy=&type=600004092.m3u8
CCTV8(VIP),http://192.168.1.100:2699/ysp/cctv8(vip).m3u8?proxy=&type=600001803.m3u8
CCTV9,http://192.168.1.100:2699/ysp/cctv9.m3u8?proxy=&type=600004078.m3u8
CCTV10,http://192.168.1.100:2699/ysp/cctv10.m3u8?proxy=&type=600001805.m3u8
CCTV11,http://192.168.1.100:2699/ysp/cctv11.m3u8?proxy=&type=600001806.m3u8
CCTV12,http://192.168.1.100:2699/ysp/cctv12.m3u8?proxy=&type=600001807.m3u8
CCTV13,http://192.168.1.100:2699/ysp/cctv13.m3u8?proxy=&type=600001811.m3u8
CCTV14,http://192.168.1.100:2699/ysp/cctv14.m3u8?proxy=&type=600001809.m3u8
CCTV15,http://192.168.1.100:2699/ysp/cctv15.m3u8?proxy=&type=600001815.m3u8
CCTV16-HD,http://192.168.1.100:2699/ysp/cctv16-hd.m3u8?proxy=&type=600098637.m3u8
CCTV16(4K）(VIP),http://192.168.1.100:2699/ysp/cctv16(4k）(vip).m3u8?proxy=&type=600099502.m3u8
CCTV17,http://192.168.1.100:2699/ysp/cctv17.m3u8?proxy=&type=600001810.m3u8
CGTN,http://192.168.1.100:2699/ysp/cgtn.m3u8?proxy=&type=600014550.m3u8
CGTN法语频道,http://192.168.1.100:2699/ysp/cgtn法语频道.m3u8?proxy=&type=600084704.m3u8
CGTN俄语频道,http://192.168.1.100:2699/ysp/cgtn俄语频道.m3u8?proxy=&type=600084758.m3u8
CGTN阿拉伯语频道,http://192.168.1.100:2699/ysp/cgtn阿拉伯语频道.m3u8?proxy=&type=600084782.m3u8
