央视频道,#genre#
CCTV1,http://192.168.1.100:2519/cbg.php?id=cctv1
CCTV1,http://192.168.1.100:2519/ysp.php?id=cctv1
CCTV2,http://192.168.1.100:2519/ysp.php?id=cctv2
CCTV2,http://192.168.1.100:2519/cbg.php?id=cctv2
CCTV3,http://192.168.1.100:2519/ysp.php?id=cctv3
CCTV3,http://192.168.1.100:2519/cbg.php?id=cctv3
CCTV4,http://192.168.1.100:2519/cbg.php?id=cctv4
CCTV4,http://192.168.1.100:2519/ysp.php?id=cctv4
CCTV5,http://192.168.1.100:2519/ysp.php?id=cctv5
CCTV5,http://192.168.1.100:2519/cbg.php?id=cctv5
CCTV5+,http://192.168.1.100:2519/ysp.php?id=cctv5p
CCTV5+,http://192.168.1.100:2519/cbg.php?id=cctv5p
CCTV6,http://192.168.1.100:2519/ysp.php?id=cctv6
CCTV6,http://192.168.1.100:2519/cbg.php?id=cctv6
CCTV7,http://192.168.1.100:2519/ysp.php?id=cctv7
CCTV7,http://192.168.1.100:2519/cbg.php?id=cctv7
CCTV8,http://192.168.1.100:2519/cbg.php?id=cctv8
CCTV8,http://192.168.1.100:2519/ysp.php?id=cctv8
CCTV9,http://192.168.1.100:2519/ysp.php?id=cctv9
CCTV9,http://192.168.1.100:2519/cbg.php?id=cctv9
CCTV10,http://192.168.1.100:2519/ysp.php?id=cctv10
CCTV10,http://192.168.1.100:2519/cbg.php?id=cctv10
CCTV11,http://192.168.1.100:2519/ysp.php?id=cctv11
CCTV11,http://192.168.1.100:2519/cbg.php?id=cctv11
CCTV12,http://192.168.1.100:2519/ysp.php?id=cctv12
CCTV12,http://192.168.1.100:2519/cbg.php?id=cctv12
CCTV13,http://192.168.1.100:2519/ysp.php?id=cctv13
CCTV13,http://192.168.1.100:2519/cbg.php?id=cctv13
CCTV14,http://192.168.1.100:2519/ysp.php?id=cctv14
CCTV14,http://192.168.1.100:2519/cbg.php?id=cctv14
CCTV15,http://192.168.1.100:2519/cbg.php?id=cctv15
CCTV15,http://192.168.1.100:2519/ysp.php?id=cctv15
CCTV16,http://192.168.1.100:2519/cbg.php?id=cctv16
CCTV16,http://192.168.1.100:2519/ysp.php?id=cctv16
CCTV17,http://192.168.1.100:2519/ysp.php?id=cctv17
CCTV17,http://192.168.1.100:2519/cbg.php?id=cctv17
CCTV4K,http://192.168.1.100:2519/ysp.php?id=cctv4k
CCTV8K,http://192.168.1.100:2519/ysp.php?id=cctv8k
CGTN,http://192.168.1.100:2519/cbg.php?id=cgtn
CGTN,http://192.168.1.100:2519/ysp.php?id=cgtn
CGTN纪录,http://192.168.1.100:2519/ysp.php?id=cgtnjl
CGTN俄语,http://192.168.1.100:2519/ysp.php?id=cgtnr
CGTN法语,http://192.168.1.100:2519/ysp.php?id=cgtnf
CGTN西语,http://192.168.1.100:2519/ysp.php?id=cgtne
CGTN阿语,http://192.168.1.100:2519/ysp.php?id=cgtna
数字频道,#genre#
CHC动作电影,http://192.168.1.100:2519/cbg.php?id=chcdz
CHC家庭影院,http://192.168.1.100:2519/cbg.php?id=chcjt
CHC高清电影,http://192.168.1.100:2519/cbg.php?id=chcgq
重温经典,http://192.168.1.100:2519/cbg.php?id=cwjd
第一剧场,http://192.168.1.100:2519/ysp.php?id=dyjc
第一剧场,http://192.168.1.100:2519/cbg.php?id=dyjc
风云剧场,http://192.168.1.100:2519/cbg.php?id=fyjc
风云剧场,http://192.168.1.100:2519/ysp.php?id=fyjc
怀旧剧场,http://192.168.1.100:2519/ysp.php?id=hjjc
怀旧剧场,http://192.168.1.100:2519/cbg.php?id=hjjc
世界地理,http://192.168.1.100:2519/ysp.php?id=sjdl
发现之旅,http://192.168.1.100:2519/cbg.php?id=fxzl
求索纪录,http://192.168.1.100:2519/cbg.php?id=qsjl
兵器科技,http://192.168.1.100:2519/cbg.php?id=bqkj
兵器科技,http://192.168.1.100:2519/ysp.php?id=bqkj
风云音乐,http://192.168.1.100:2519/ysp.php?id=fyyy
风云音乐,http://192.168.1.100:2519/cbg.php?id=fyyy
文化精品,http://192.168.1.100:2519/ysp.php?id=whjp
文化精品,http://192.168.1.100:2519/cbg.php?id=whjp
央视台球,http://192.168.1.100:2519/ysp.php?id=ystq
央视台球,http://192.168.1.100:2519/cbg.php?id=ystq
高尔夫网球,http://192.168.1.100:2519/cbg.php?id=gefwq
高尔夫网球,http://192.168.1.100:2519/ysp.php?id=gefwq
风云足球,http://192.168.1.100:2519/ysp.php?id=fyzq
风云足球,http://192.168.1.100:2519/cbg.php?id=fyzq
女性时尚,http://192.168.1.100:2519/cbg.php?id=nxss
女性时尚,http://192.168.1.100:2519/ysp.php?id=nxss
电视指南,http://192.168.1.100:2519/ysp.php?id=dszn
中学生,http://192.168.1.100:2519/cbg.php?id=zxs
老故事,http://192.168.1.100:2519/cbg.php?id=lgs
书画,http://192.168.1.100:2519/cbg.php?id=sh
中国天气,http://192.168.1.100:2519/cbg.php?id=zgtq
收藏天下,http://192.168.1.100:2519/cbg.php?id=sctx
快乐垂钓,http://192.168.1.100:2519/cbg.php?id=klcd
先锋乒羽,http://192.168.1.100:2519/cbg.php?id=xfpy
财富天下,http://192.168.1.100:2519/cbg.php?id=cftx
天元围棋,http://192.168.1.100:2519/cbg.php?id=tywq
新动漫,http://192.168.1.100:2519/cbg.php?id=xdm
卫生健康,http://192.168.1.100:2519/ysp.php?id=wsjk
证券服务,http://192.168.1.100:2519/cbg.php?id=zqfw
国学,http://192.168.1.100:2519/cbg.php?id=gxpd
爱看导视,http://192.168.1.100:2519/cbg.php?id=akds
车迷,http://192.168.1.100:2519/cbg.php?id=cmpd
教育频道,#genre#
CETV1,http://192.168.1.100:2519/cbg.php?id=cetv1
CETV4,http://192.168.1.100:2519/cbg.php?id=cetv4
山东教育,http://192.168.1.100:2519/cbg.php?id=sdjy
早期教育,http://192.168.1.100:2519/cbg.php?id=zqjy
卫视,#genre#
北京卫视,http://192.168.1.100:2519/ysp.php?id=bjws
北京卫视,http://192.168.1.100:2519/cbg.php?id=bjws
湖南卫视,http://192.168.1.100:2519/cbg.php?id=hunws
湖南卫视,http://192.168.1.100:2519/ysp.php?id=hunws
东方卫视,http://192.168.1.100:2519/cbg.php?id=dfws
东方卫视,http://192.168.1.100:2519/ysp.php?id=dfws
四川卫视,http://192.168.1.100:2519/ysp.php?id=scws
四川卫视,http://192.168.1.100:2519/cbg.php?id=scws
天津卫视,http://192.168.1.100:2519/cbg.php?id=tjws
天津卫视,http://192.168.1.100:2519/ysp.php?id=tjws
安徽卫视,http://192.168.1.100:2519/cbg.php?id=ahws
安徽卫视,http://192.168.1.100:2519/ysp.php?id=ahws
山东卫视,http://192.168.1.100:2519/ysp.php?id=sdws
广东卫视,http://192.168.1.100:2519/cbg.php?id=gdws
广东卫视,http://192.168.1.100:2519/ysp.php?id=gdws
广西卫视,http://192.168.1.100:2519/cbg.php?id=gxws
广西卫视,http://192.168.1.100:2519/ysp.php?id=gxws
江苏卫视,http://192.168.1.100:2519/cbg.php?id=jsws
江苏卫视,http://192.168.1.100:2519/ysp.php?id=jsws
江西卫视,http://192.168.1.100:2519/cbg.php?id=jxws
江西卫视,http://192.168.1.100:2519/ysp.php?id=jxws
河北卫视,http://192.168.1.100:2519/ysp.php?id=hbws
河北卫视,http://192.168.1.100:2519/cbg.php?id=hbws
河南卫视,http://192.168.1.100:2519/cbg.php?id=hnws
河南卫视,http://192.168.1.100:2519/ysp.php?id=hnws
浙江卫视,http://192.168.1.100:2519/ysp.php?id=zjws
浙江卫视,http://192.168.1.100:2519/cbg.php?id=zjws
海南卫视,http://192.168.1.100:2519/ysp.php?id=hinws
