央视频道,#genre#
CCTV1,http://192.168.1.100:2519/ysp.php?id=cctv1
CCTV2,http://192.168.1.100:2519/ysp.php?id=cctv2
CCTV3,http://192.168.1.100:2519/ysp.php?id=cctv3
CCTV4,http://192.168.1.100:2519/ysp.php?id=cctv4
CCTV5,http://192.168.1.100:2519/ysp.php?id=cctv5
CCTV5+,http://192.168.1.100:2519/ysp.php?id=cctv5p
CCTV6,http://192.168.1.100:2519/ysp.php?id=cctv6
CCTV7,http://192.168.1.100:2519/ysp.php?id=cctv7
CCTV8,http://192.168.1.100:2519/ysp.php?id=cctv8
CCTV9,http://192.168.1.100:2519/ysp.php?id=cctv9
CCTV10,http://192.168.1.100:2519/ysp.php?id=cctv10
CCTV11,http://192.168.1.100:2519/ysp.php?id=cctv11
CCTV12,http://192.168.1.100:2519/ysp.php?id=cctv12
CCTV13,http://192.168.1.100:2519/ysp.php?id=cctv13
CCTV14,http://192.168.1.100:2519/ysp.php?id=cctv14
CCTV15,http://192.168.1.100:2519/ysp.php?id=cctv15
CCTV16,http://192.168.1.100:2519/ysp.php?id=cctv16
CCTV17,http://192.168.1.100:2519/ysp.php?id=cctv17
CCTV4K,http://192.168.1.100:2519/ysp.php?id=cctv4k
CCTV8K,http://192.168.1.100:2519/ysp.php?id=cctv8k
CGTN,http://192.168.1.100:2519/ysp.php?id=cgtn
CGTN纪录,http://192.168.1.100:2519/ysp.php?id=cgtnjl
CGTN俄语,http://192.168.1.100:2519/ysp.php?id=cgtnr
CGTN法语,http://192.168.1.100:2519/ysp.php?id=cgtnf
CGTN西语,http://192.168.1.100:2519/ysp.php?id=cgtne
CGTN阿语,http://192.168.1.100:2519/ysp.php?id=cgtna
数字频道,#genre#
第一剧场,http://192.168.1.100:2519/ysp.php?id=dyjc
风云剧场,http://192.168.1.100:2519/ysp.php?id=fyjc
怀旧剧场,http://192.168.1.100:2519/ysp.php?id=hjjc
世界地理,http://192.168.1.100:2519/ysp.php?id=sjdl
兵器科技,http://192.168.1.100:2519/ysp.php?id=bqkj
风云音乐,http://192.168.1.100:2519/ysp.php?id=fyyy
文化精品,http://192.168.1.100:2519/ysp.php?id=whjp
央视台球,http://192.168.1.100:2519/ysp.php?id=ystq
高尔夫网球,http://192.168.1.100:2519/ysp.php?id=gefwq
风云足球,http://192.168.1.100:2519/ysp.php?id=fyzq
女性时尚,http://192.168.1.100:2519/ysp.php?id=nxss
电视指南,http://192.168.1.100:2519/ysp.php?id=dszn
卫生健康,http://192.168.1.100:2519/ysp.php?id=wsjk
卫视,#genre#
北京卫视,http://192.168.1.100:2519/ysp.php?id=bjws
湖南卫视,http://192.168.1.100:2519/ysp.php?id=hunws
东方卫视,http://192.168.1.100:2519/ysp.php?id=dfws
四川卫视,http://192.168.1.100:2519/ysp.php?id=scws
天津卫视,http://192.168.1.100:2519/ysp.php?id=tjws
安徽卫视,http://192.168.1.100:2519/ysp.php?id=ahws
山东卫视,http://192.168.1.100:2519/ysp.php?id=sdws
广东卫视,http://192.168.1.100:2519/ysp.php?id=gdws
广西卫视,http://192.168.1.100:2519/ysp.php?id=gxws
江苏卫视,http://192.168.1.100:2519/ysp.php?id=jsws
江西卫视,http://192.168.1.100:2519/ysp.php?id=jxws
河北卫视,http://192.168.1.100:2519/ysp.php?id=hbws
河南卫视,http://192.168.1.100:2519/ysp.php?id=hnws
浙江卫视,http://192.168.1.100:2519/ysp.php?id=zjws
海南卫视,http://192.168.1.100:2519/ysp.php?id=hinws
深圳卫视,http://192.168.1.100:2519/ysp.php?id=szws
湖北卫视,http://192.168.1.100:2519/ysp.php?id=hubws
东南卫视,http://192.168.1.100:2519/ysp.php?id=dnws
贵州卫视,http://192.168.1.100:2519/ysp.php?id=gzws
辽宁卫视,http://192.168.1.100:2519/ysp.php?id=lnws
重庆卫视,http://192.168.1.100:2519/ysp.php?id=cqws
黑龙江卫视,http://192.168.1.100:2519/ysp.php?id=hljws
新疆卫视,http://192.168.1.100:2519/ysp.php?id=xjws
